UD_Czech-PDT  68495 9270
UD_Russian-SynTagRus  48814 6584
UD_Czech-CAC  23478 603
UD_Korean-Kaist 23010 2066
UD_Estonian-EDT 20827 2633
UD_Latin-PROIEL 15906 1234
UD_Latin-ITTB 15808 700
UD_Norwegian-Bokmaal  15696 2410
UD_Ancient_Greek-PROIEL 15015 1019
UD_Finnish-FTB  14981 1875
UD_French-GSD 14554 1478
UD_Spanish-AnCora 14305 1654
UD_Norwegian-Nynorsk  14174 1890
UD_Old_French-SRCMF 13909 1842
UD_German-GSD 13814 799
UD_Polish-LFG 13774 1745
UD_Hindi-HDTB 13304 1659
UD_Catalan-AnCora 13123 1709
UD_Italian-ISDT 13121 564
UD_English-EWT  12543 2002
UD_Dutch-Alpino 12269 718
UD_Finnish-TDT  12217 1364
UD_Ancient_Greek-Perseus  11476 1137
UD_Czech-FicTree  10160 1309
UD_Bulgarian-BTB  8907  1115
UD_Slovak-SNK 8483  1060
UD_Portuguese-Bosque  8329  560
UD_Romanian-RRT 8043  752
UD_Japanese-GSD 7164  511
UD_Croatian-SET 6983  849
UD_Slovenian-SSJ  6478  734
UD_Polish-SZ  6100  1027
UD_Arabic-PADT  6075  909
UD_Dutch-LassySmall 5789  676
UD_Latvian-LVTB 5424  1051
UD_Basque-BDT 5396  1798
UD_Italian-PoSTWITA 5368  671
UD_Hebrew-HTB 5241  484
UD_Persian-Seraji 4798  599
UD_Ukrainian-IU 4513  577
UD_Indonesian-GSD 4477  559
UD_Korean-GSD 4400  950
UD_Danish-DDT 4383  564
UD_Swedish-Talbanken  4303  504
UD_Old_Church_Slavonic-PROIEL 4123  1073
UD_Urdu-UDTB  4043  552
UD_Chinese-GSD  3997  500
UD_Turkish-IMST 3685  975
UD_Gothic-PROIEL  3387  985
UD_Serbian-SET  2935  465
UD_English-GUM  2914  707
UD_English-LinES  2738  912
UD_Swedish-LinES  2738  912
UD_Galician-CTG 2272  860
UD_North_Sami-Giella  2257  0
UD_French-Sequoia 2231  412
UD_Slovenian-SST  2078  0
UD_Greek-GDT  1662  403
UD_Uyghur-UDT 1656  900
UD_Vietnamese-VTB 1400  800
UD_Latin-Perseus  1334  0
UD_Afrikaans-AfriBooms  1315  194
UD_French-Spoken  1153  907
UD_Hungarian-Szeged 910 441
UD_Russian-Taiga  880 0
UD_Galician-TreeGal 600 0
UD_Irish-IDT  566 0
UD_Norwegian-NynorskLIA 339 0
UD_Armenian-ArmTDP  50  0
UD_Kazakh-KTB 31  0
UD_Upper_Sorbian-UFAL 23  0
UD_Kurmanji-MG  20  0
UD_Buryat-BDT 19  0
UD_Naija-NSC  0 0
UD_English-PUD  0 0
UD_Thai-PUD 0 0
UD_Japanese-Modern  0 0
UD_Breton-KEB 0 0
UD_Faroese-OFT  0 0
UD_Finnish-PUD  0 0
UD_Swedish-PUD  0 0
UD_Czech-PUD  0 0
