UD_Armenian-ArmTDP  UD_Ancient_Greek-Perseus,UD_Ancient_Greek-PROIEL    
UD_Kazakh-KTB   UD_Turkish-IMST,UD_Uyghur-UDT   
UD_Upper_Sorbian-UFAL   mixed 
UD_Kurmanji-MG  UD_Persian-Seraji   
UD_Buryat-BDT   UD_Turkish-IMST,UD_Uyghur-UDT,UD_Korean-GSD,UD_Korean-Kaist,UD_Japanese-GSD 
UD_Naija-NSC    mixed   
UD_English-PUD  UD_English-EWT  
UD_Thai-PUD mixed   
UD_Japanese-Modern  UD_Japanese-GSD 
UD_Breton-KEB   mixed   
UD_Faroese-OFT  UD_Danish-DDT,UD_Swedish-Talbanken,UD_Swedish-LinES,UD_Norwegian-NynorskLIA,UD_Norwegian-Bokmaal,UD_Norwegian-Nynorsk   
UD_Finnish-PUD  UD_Finnish-TDT  
UD_Swedish-PUD  UD_Swedish-Talbanken    
UD_Czech-PUD    UD_Czech-PDT    
