UD_Afrikaans-AfriBooms,ud-af_afribooms,,
UD_Ancient_Greek-Perseus,ud-grc_perseus,ancient_greek,
UD_Ancient_Greek-PROIEL,ud-grc_proiel,ancient_greek-proiel,
UD_Arabic-PADT,ud-ar_padt,arabic,
UD_Armenian-ArmTDP,ud-hy_armtdp,,
UD_Basque-BDT,ud-eu_bdt,basque,
UD_Bulgarian-BTB,ud-bg_btb,bulgarian,
UD_Buryat-BDT,ud-bxr_bdt,,
UD_Catalan-AnCora,ud-ca_ancora,catalan,
UD_Chinese-GSD,ud-zh_gsd,chinese,
UD_Croatian-SET,ud-hr_set,croatian,
UD_Czech-CAC,ud-cs_cac,czech-cac,
UD_Czech-FicTree,ud-cs_fictree,czech,czech-cltt
UD_Czech-PDT,ud-cs_pdt,czech,czech-cltt
UD_Danish-DDT,ud-da_ddt,danish,
UD_Dutch-Alpino,ud-nl_alpino,dutch,
UD_Dutch-LassySmall,ud-nl_lassysmall,dutch-lassysmall,
UD_English-EWT,ud-en_ewt,english,english-partut
UD_English-GUM,ud-en_gum,english,english-partut
UD_English-LinES,ud-en_lines,english-lines,
UD_Estonian-EDT,ud-et_edt,estonian,
UD_Finnish-FTB,ud-fi_ftb,finnish-ftb,
UD_Finnish-TDT,ud-fi_tdt,finnish,
UD_French-GSD,ud-fr_gsd,french,french-partut
UD_French-Sequoia,ud-fr_sequoia,french-sequoia,
UD_French-Spoken,ud-fr_spoken,french,french-partut
UD_Galician-CTG,ud-gl_ctg,galician,
UD_Galician-TreeGal,ud-gl_treegal,galician-treegal,
UD_German-GSD,ud-de_gsd,german,
UD_Gothic-PROIEL,ud-got_proiel,gothic,
UD_Greek-GDT,ud-el_gdt,greek,
UD_Hebrew-HTB,ud-he_htb,hebrew,
UD_Hindi-HDTB,ud-hi_hdtb,hindi,
UD_Hungarian-Szeged,ud-hu_szeged,hungarian,
UD_Indonesian-GSD,ud-id_gsd,indonesian,
UD_Irish-IDT,ud-ga_idt,irish,
UD_Italian-ISDT,ud-it_isdt,italian,
UD_Italian-PoSTWITA,ud-it_postwita,italian,
UD_Japanese-GSD,ud-ja_gsd,japanese,
UD_Kazakh-KTB,ud-kk_ktb,kazakh,
UD_Korean-GSD,ud-ko_gsd,korean,
UD_Korean-Kaist,ud-ko_kaist,korean,
UD_Kurmanji-MG,ud-kmr_mg,,
UD_Latin-ITTB,ud-la_ittb,latin-ittb,
UD_Latin-Perseus,ud-la_perseus,latin,
UD_Latin-PROIEL,ud-la_proiel,latin-proiel,
UD_Latvian-LVTB,ud-lv_lvtb,latvian,
UD_North_Sami-Giella,ud-sme_giella,,
UD_Norwegian-Bokmaal,ud-no_bokmaal,norwegian-bokmaal,
UD_Norwegian-Nynorsk,ud-no_nynorsk,norwegian-nynorsk,
UD_Norwegian-NynorskLIA,ud-no_nynorsklia,norwegian-nynorsk,
UD_Old_Church_Slavonic-PROIEL,ud-cu_proiel,old_church_slavonic,
UD_Old_French-SRCMF,ud-fro_srcmf,french,
UD_Persian-Seraji,ud-fa_seraji,persian,
UD_Polish-LFG,ud-pl_lfg,polish,
UD_Polish-SZ,ud-pl_sz,polish,
UD_Portuguese-Bosque,ud-pt_bosque,portuguese,portuguese-br
UD_Romanian-RRT,ud-ro_rrt,romanian,
UD_Russian-SynTagRus,ud-ru_syntagrus,russian-syntagrus,
UD_Russian-Taiga,ud-ru_taiga,russian,
UD_Serbian-SET,ud-sr_set,,
UD_Slovak-SNK,ud-sk_snk,slovak,
UD_Slovenian-SSJ,ud-sl_ssj,slovenian,
UD_Slovenian-SST,ud-sl_sst,slovenian-sst,
UD_Spanish-AnCora,ud-es_ancora,spanish-ancora,
UD_Swedish-LinES,ud-sv_lines,swedish-lines,
UD_Swedish-Talbanken,ud-sv_talbanken,swedish,
UD_Turkish-IMST,ud-tr_imst,turkish,
UD_Ukrainian-IU,ud-uk_iu,ukrainian,
UD_Upper_Sorbian-UFAL,ud-hsb_ufal,,
UD_Urdu-UDTB,ud-ur_udtb,urdu,
UD_Uyghur-UDT,ud-ug_udt,uyghur,
UD_Vietnamese-VTB,ud-vi_vtb,vietnamese,
